"Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14"
0.320,1.05,0.09,-1.22,0.320,0.99,0.21,3.91,0.320,1.07,0.37,-6.73,0.320,1.04,-0.12,-2.35,0.320,1.08,-0.03,-1.24,0.320,1.06,-0.03,3.16,0.320,1.08,-0.05,1.99,0.320,1.09,0.29,-6.53,0.320,1.07,-0.06,-1.06,0.320,1.04,0.07,-5.00
0.340,1.05,0.05,-2.02,0.340,1.01,0.19,-1.99,0.340,1.07,-5.93E-4,-8.75,0.340,1.04,-0.16,-0.32,0.340,1.08,-0.07,-0.38,0.340,1.06,0.13,3.43,0.340,1.09,-0.04,0.60,0.340,1.10,-0.06,-10.34,0.340,1.07,-0.06,0.28,0.340,1.04,-0.01,-4.85
0.360,1.05,-0.01,-1.63,0.360,1.01,0.01,-2.70,0.360,1.06,-0.12,-5.45,0.360,1.03,-0.12,1.44,0.360,1.07,-0.07,1.04,0.360,1.06,0.24,-0.66,0.360,1.08,-0.25,3.43,0.360,1.08,-0.37,-3.49,0.360,1.07,-0.03,0.70,0.360,1.04,-0.07,-4.92
0.380,1.05,-0.04,-0.38,0.380,1.00,-0.04,1.04,0.380,1.05,-0.10,-2.75,0.380,1.03,-0.07,1.93,0.380,1.07,-0.01,1.67,0.380,1.08,0.12,-5.51,0.380,1.07,0.04,4.90,0.380,1.07,-0.25,5.84,0.380,1.07,-0.01,-0.07,0.380,1.04,-0.22,-4.06
0.400,1.05,-0.02,0.56,0.400,1.00,0.12,3.02,0.400,1.07,-0.18,-1.58,0.400,1.03,-0.04,1.45,0.400,1.07,0.03,0.95,0.400,1.07,-0.10,-4.72,0.400,1.07,0.28,1.58,0.400,1.07,0.06,8.23,0.400,1.06,-0.03,-0.91,0.400,1.03,-0.31,0.32
0.420,1.05,0.01,0.88,0.420,1.01,0.21,0.38,0.420,1.04,-0.27,1.02,0.420,1.03,-0.01,0.83,0.420,1.07,0.03,-0.20,0.420,1.06,-0.19,0.56,0.420,1.11,0.02,-1.57,0.420,1.08,0.21,2.74,0.420,1.06,-0.07,-0.38,0.420,1.02,-0.26,5.47
0.440,1.05,0.01,0.82,0.440,1.02,0.12,-3.35,0.440,1.04,-0.14,0.77,0.440,1.03,-0.01,0.33,0.440,1.07,0.01,-0.33,0.440,1.06,-0.02,4.33,0.440,1.07,-0.03,1.05,0.440,1.09,0.16,-3.17,0.440,1.06,-0.08,1.73,0.440,1.02,0.00,4.87
0.460,1.05,0.04,0.48,0.460,1.01,0.00,-4.70,0.460,1.04,-0.02,-5.34,0.460,1.03,-0.01,0.12,0.460,1.07,-0.01,1.57,0.460,1.06,0.10,4.04,0.460,1.07,0.17,2.41,0.460,1.09,-0.02,-4.31,0.460,1.06,-0.01,3.46,0.460,1.02,0.12,-0.32
0.480,1.05,0.05,-0.53,0.480,1.01,-0.07,-4.23,0.480,1.05,-0.34,-12.49,0.480,1.03,-0.01,0.36,0.480,1.07,0.03,2.91,0.480,1.07,0.13,1.71,0.480,1.10,0.26,-3.34,0.480,1.08,-0.09,-2.69,0.480,1.06,0.11,2.49,0.480,1.04,-0.11,-4.15
0.500,1.06,0.03,-1.77,0.500,1.01,-0.16,-2.80,0.500,1.03,-0.71,-13.45,0.500,1.03,0.00,0.57,0.500,1.07,0.19,0.72,0.500,1.07,0.15,-1.00,0.500,1.10,0.02,-8.40,0.500,1.08,-0.06,0.01,0.500,1.07,0.15,-0.99,0.500,1.02,-0.19,-1.97
0.520,1.05,-0.04,-1.85,0.520,1.01,-0.23,0.16,0.520,1.01,-0.95,-9.14,0.520,1.03,0.03,0.18,0.520,1.08,0.15,-3.99,0.520,1.07,0.14,-4.45,0.520,1.07,-0.28,-7.43,0.520,1.08,-0.13,2.38,0.520,1.07,0.06,-3.51,0.520,1.01,-0.18,1.91
0.540,1.05,-0.08,-0.77,0.540,1.00,-0.18,3.59,0.540,0.99,-1.02,-6.09,0.540,1.03,0.02,-0.62,0.540,1.09,-0.05,-5.89,0.540,1.08,-0.03,-6.73,0.540,1.10,-0.30,-2.81,0.540,1.08,0.02,2.56,0.540,1.07,-0.07,-2.50,0.540,1.03,-0.04,2.40
0.560,1.05,-0.06,0.53,0.560,1.00,-0.03,4.73,0.560,0.98,-1.12,-5.85,0.560,1.03,-0.01,-0.97,0.560,1.07,-0.21,-1.84,0.560,1.08,-0.23,-4.69,0.560,1.07,-0.32,4.03,0.560,1.07,0.12,0.04,0.560,1.06,-0.09,0.54,0.560,1.01,-0.03,1.80
0.580,1.05,-0.04,1.20,0.580,1.00,0.07,3.25,0.580,0.95,-1.27,-6.61,0.580,1.03,-0.03,-0.41,0.580,1.07,-0.15,2.75,0.580,1.06,-0.29,0.47,0.580,1.07,-0.29,8.29,0.580,1.10,0.00,-2.98,0.580,1.06,0.00,2.36,0.580,1.01,-0.06,0.08
0.600,1.05,-0.01,1.36,0.600,1.00,0.09,1.06,0.600,0.92,-1.41,-6.16,0.600,1.03,-0.03,0.26,0.600,1.07,0.04,4.55,0.600,1.06,-0.16,3.66,0.600,1.07,0.19,6.27,0.600,1.08,-0.11,-1.39,0.600,1.06,0.06,1.69,0.600,1.01,0.05,-2.48
0.620,1.05,0.01,1.22,0.620,1.00,0.09,-0.30,0.620,0.89,-1.53,-4.59,0.620,1.03,-0.01,0.40,0.620,1.07,0.04,3.96,0.620,1.06,-0.04,3.11,0.620,1.07,0.19,-1.82,0.620,1.07,-0.11,0.45,0.620,1.07,0.07,-1.05,0.620,1.01,-0.11,-5.78
0.640,1.05,0.04,0.58,0.640,1.01,0.07,-1.09,0.640,0.86,-1.60,-3.38,0.640,1.03,-0.01,0.11,0.640,1.08,0.15,1.07,0.640,1.06,-0.04,3.39,0.640,1.09,-0.04,-7.45,0.640,1.08,0.07,-2.63,0.640,1.07,0.04,-4.99,0.640,1.02,-0.27,-6.83
0.660,1.05,0.05,-0.12,0.660,1.01,0.05,-1.34,0.660,0.83,-1.63,-3.64,0.660,1.03,-0.01,-0.15,0.660,1.07,0.21,0.24,0.660,1.06,-0.04,5.03,0.660,1.06,-0.27,-0.43,0.660,1.08,-0.12,-7.84,0.660,1.07,-0.12,-8.77,0.660,1.00,-0.42,-3.77
0.680,1.05,0.02,-0.47,0.680,1.01,9.83E-4,-0.30,0.680,0.80,-1.72,-4.82,0.680,1.03,-0.01,-0.25,0.680,1.09,-0.01,6.06,0.680,1.06,0.25,4.37,0.680,1.06,-0.24,10.61,0.680,1.08,-0.42,-10.18,0.680,1.07,-0.36,-10.02,0.680,0.99,-0.45,-1.18
0.700,1.05,0.02,-0.46,0.700,1.01,0.00,1.92,0.700,0.76,-1.85,-5.17,0.700,1.03,-0.02,-0.35,0.700,1.08,0.22,6.63,0.700,1.06,0.28,-1.73,0.700,1.06,0.34,14.19,0.700,1.06,-0.57,-7.48,0.700,1.05,-0.58,-8.07,0.700,0.98,-0.38,-1.51
0.720,1.05,0.01,-0.36,0.720,1.01,0.08,3.05,0.720,0.72,-1.95,-4.47,0.720,1.03,-0.03,-0.46,0.720,1.06,0.87,-14.24,0.720,1.09,0.17,-8.00,0.720,1.06,0.62,5.25,0.720,1.05,-0.70,-5.03,0.720,1.04,-0.69,-5.03,0.720,0.98,-0.46,-4.34
0.740,1.05,0.00,-0.28,0.740,1.01,0.20,-0.78,0.740,0.68,-2.01,-3.91,0.740,1.03,-0.04,0.12,0.740,1.13,0.14,-46.37,0.740,1.06,-0.17,-7.23,0.740,1.10,0.57,-9.74,0.740,1.04,-0.73,-3.91,0.740,1.03,-0.75,-2.25,0.740,0.97,-0.60,-5.83
0.760,1.05,0.00,-0.07,0.760,1.01,0.17,-7.82,0.760,0.64,-2.09,-3.97,0.760,1.03,-0.05,2.91,0.760,1.15,-1.63,-51.85,0.760,1.08,-0.27,-3.13,0.760,1.10,0.16,-14.48,0.760,1.02,-0.86,-3.38,0.760,1.01,-0.80,0.06,0.760,0.95,-0.76,-3.82
0.780,1.05,9.94E-4,0.04,0.780,1.02,-0.18,-10.50,0.780,0.60,-2.18,-3.84,0.780,1.03,0.02,6.25,0.780,1.01,-2.84,-19.72,0.780,1.05,-0.16,-0.09,0.780,1.10,-0.37,-8.04,0.780,1.01,-0.88,-3.53,0.780,0.99,-0.75,0.30,0.780,0.94,-0.78,-0.66
0.800,1.05,0.01,-0.06,0.800,1.01,-0.48,-3.82,0.800,0.56,-2.26,-3.25,0.800,1.03,0.27,5.07,0.800,0.98,-2.37,12.09,0.800,1.07,-0.22,-2.23,0.800,1.09,-0.18,2.91,0.800,0.98,-0.96,-3.82,0.800,0.98,-0.68,-2.94,0.800,0.92,-0.73,1.41
0.820,1.05,-1.18E-4,-0.28,0.820,0.99,-0.41,6.08,0.820,0.51,-2.30,-2.60,0.820,1.03,0.40,-1.93,0.820,0.96,-1.48,17.60,0.820,1.05,-0.22,-6.31,0.820,1.07,-0.06,6.16,0.820,0.97,-1.05,-4.98,0.820,0.97,-0.83,-7.28,0.820,0.91,-0.70,1.58
0.840,1.05,-0.01,-0.44,0.840,0.99,-0.06,7.48,0.840,0.46,-2.36,-2.50,0.840,1.05,0.18,-9.22,0.840,0.92,-1.54,6.15,0.840,1.05,-0.47,-9.50,0.840,1.11,0.19,2.10,0.840,0.94,-1.14,-3.81,0.840,0.95,-1.07,-7.33,0.840,0.89,-0.67,0.84
0.860,1.05,-0.02,-0.46,0.860,0.99,0.13,-0.92,0.860,0.42,-2.39,-2.93,0.860,1.05,-0.13,-10.02,0.860,0.89,-1.57,-0.15,0.860,1.04,-0.67,-10.43,0.860,1.07,0.00,-0.31,0.860,0.92,-1.29,-0.81,0.860,0.92,-1.23,-2.50,0.860,0.88,-0.66,-0.15
0.880,1.05,-0.03,-0.43,0.880,1.00,-0.12,-10.62,0.880,0.37,-2.47,-3.42,0.880,1.03,-0.32,-7.02,0.880,0.86,-1.55,0.21,0.880,1.02,-0.92,-8.20,0.880,1.10,0.02,-3.41,0.880,0.89,-1.18,1.76,0.880,0.90,-1.16,1.78,0.880,0.87,-0.67,-1.00
0.900,1.05,-0.04,-0.18,0.900,0.99,-0.46,-14.26,0.900,0.32,-2.54,-2.18,0.900,1.04,-0.31,-7.13,0.900,0.83,-1.49,-2.38,0.900,1.00,-1.03,-5.70,0.900,1.07,0.08,-6.98,0.900,0.86,-1.12,0.29,0.900,0.88,-1.04,2.31,0.900,0.85,-0.71,-1.16
0.920,1.05,-0.04,0.36,0.920,0.98,-0.75,-8.41,0.920,0.26,-2.62,5.07,0.920,1.02,-0.48,-10.58,0.920,0.80,-1.59,-6.42,0.920,0.98,-1.09,-4.09,0.920,1.11,-0.30,-12.72,0.920,0.85,-1.11,-5.15,0.920,0.86,-1.05,0.41,0.920,0.84,-0.73,-1.08
0.940,1.05,-0.03,1.19,0.940,0.96,-0.96,-1.36,0.940,0.21,-2.51,10.23,0.940,1.02,-0.82,-12.72,0.940,0.77,-1.81,-7.93,0.940,0.96,-1.18,-3.96,0.940,1.07,-0.52,-14.02,0.940,0.82,-1.33,-8.41,0.940,0.84,-1.06,-0.75,0.940,0.82,-0.74,-1.12
0.960,1.05,0.01,1.29,0.960,0.94,-0.63,-3.27,0.960,0.16,-1.90,6.25,0.960,0.99,-1.07,-9.97,0.960,0.73,-2.00,-5.11,0.960,0.93,-1.26,-4.02,0.960,1.06,-0.91,-12.64,0.960,0.80,-1.58,-6.93,0.960,0.81,-1.09,-0.61,0.960,0.81,-0.78,-1.13
0.980,1.05,0.06,-0.96,0.980,0.91,-0.74,-11.03,0.980,0.12,-2.04,-0.06,0.980,0.97,-1.24,-5.32,0.980,0.69,-2.04,-1.68,0.980,0.91,-1.34,-3.92,0.980,1.06,-1.00,-11.48,0.980,0.76,-1.65,-2.13,0.980,0.79,-1.09,-0.42,0.980,0.79,-0.80,-0.70
1.000,1.05,0.03,-2.68,1.000,0.95,-1.36,-14.80,1.000,0.13,-2.34,6.85,1.000,0.95,-1.26,-2.81,1.000,0.65,-1.98,-0.67,1.000,0.88,-1.41,-3.78,1.000,1.02,-1.34,-7.66,1.000,0.73,-1.62,0.96,1.000,0.77,-1.09,-0.66,1.000,0.78,-0.81,-0.24
1.020,1.05,-0.16,-1.05,1.020,0.87,-1.55,-8.68,1.020,0.00,-2.07,88.15,1.020,0.92,-1.27,-3.09,1.020,0.61,-2.03,-1.81,1.020,0.85,-1.49,-3.61,1.020,1.00,-1.46,-2.75,1.020,0.70,-1.55,1.01,1.020,0.75,-1.11,-1.28,1.020,0.76,-0.80,-0.27
1.040,1.05,-0.09,2.27,1.040,0.83,-1.59,-6.12,1.040,0.00,-1.04,217.84,1.040,0.89,-1.37,-4.59,1.040,0.57,-2.09,-2.67,1.040,0.82,-1.56,-3.44,1.040,0.96,-1.36,1.83,1.040,0.67,-1.57,-0.16,1.040,0.73,-1.15,-1.54,1.040,0.75,-0.81,-0.65
1.060,1.03,0.05,1.96,1.060,0.85,-1.55,-10.65,1.060,0.00,7.24,267.10,1.060,0.87,-1.49,-4.95,1.060,0.52,-2.15,-2.05,1.060,0.79,-1.63,-3.29,1.060,0.94,-1.31,1.75,1.060,0.63,-1.58,-1.21,1.060,0.70,-1.19,-1.23,1.060,0.73,-0.83,-0.93
1.080,1.06,0.08,-3.66,1.080,0.78,-2.10,-10.20,1.080,0.00,14.49,128.29,1.080,0.83,-1.59,-4.22,1.080,0.48,-2.18,-1.09,1.080,0.76,-1.69,-3.24,1.080,0.91,-1.28,-0.69,1.080,0.60,-1.61,-1.55,1.080,0.68,-1.20,-0.70,1.080,0.71,-0.85,-0.92
1.100,1.05,-0.10,-8.47,1.100,0.73,-2.33,-3.60,1.100,0.87,14.45,-122.66,1.100,0.80,-1.65,-3.87,1.100,0.44,-2.18,-0.84,1.100,0.72,-1.75,-3.33,1.100,0.89,-1.34,-2.73,1.100,0.57,-1.65,-1.49,1.100,0.65,-1.21,-0.32,1.100,0.70,-0.87,-0.71
1.120,1.04,-0.38,-10.25,1.120,0.69,-2.04,2.21,1.120,0.87,7.14,-243.21,1.120,0.77,-1.72,-3.77,1.120,0.39,-2.19,-1.42,1.120,0.69,-1.82,-3.39,1.120,0.86,-1.42,-3.71,1.120,0.54,-1.68,-0.96,1.120,0.63,-1.21,-0.16,1.120,0.68,-0.88,-0.65
1.140,1.04,-0.50,-10.18,1.140,0.65,-2.04,0.20,1.140,0.87,-0.14,-181.22,1.140,0.73,-1.83,-3.28,1.140,0.35,-2.24,-1.46,1.140,0.65,-1.89,-3.19,1.140,0.83,-1.50,-3.20,1.140,0.50,-1.69,-0.48,1.140,0.61,-1.21,-0.16,1.140,0.66,-0.88,-1.03
