"Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14"
1.440,0.57,-2.24,-2.83,1.440,1.41,-531.04,-9441.77,1.440,1.29,-0.71,-4.93,1.440,0.12,26.62,476.27,1.440,1.84,8.23,-194.13,1.440,0.00,-2.07,202.63,1.440,0.28,-2.10,-0.88,1.440,1.85,-5.63,-479.80,1.440,0.21,-1.47,2.01,1.440,0.36,-1.05,-0.19
1.460,0.53,-2.30,-3.71,1.460,1.41,-542.21,4166.53,1.460,1.27,-0.85,-8.24,1.460,0.09,34.85,-99.63,1.460,2.06,-2.01,-334.97,1.460,0.00,-1.05,580.23,1.460,0.24,-2.13,1.90,1.460,2.06,-5.31,-162.80,1.460,0.18,-1.44,9.69,1.460,0.34,-1.05,-0.18
1.480,0.48,-2.39,-4.74,1.480,1.41,-2.04,8840.68,1.480,1.25,-1.05,-9.01,1.480,3.41,18.58,-669.72,1.480,1.06,-10.32,-118.22,1.480,0.00,21.84,753.16,1.480,0.20,-2.06,204.32,1.480,1.02,-7.09,116.07,1.480,0.15,-1.09,15.40,1.480,0.32,-1.05,-0.40
1.500,0.43,-2.50,-5.08,1.500,1.48,-5.52,4468.88,1.500,1.23,-1.25,-8.20,1.500,1.02,-5.54,-529.47,1.500,1.55,-7.92,98.65,1.500,0.00,43.64,372.03,1.500,0.15,-1.88,532.94,1.500,2.06,-2.02,206.01,1.500,0.13,-0.62,134.96,1.500,0.30,-1.06,-0.58
1.520,0.38,-2.61,-4.71,1.520,1.10,-6.85,102.71,1.520,1.20,-1.39,-4.12,1.520,1.42,-13.36,-82.31,1.520,1.11,-0.05,172.00,1.520,2.62,43.63,-363.68,1.520,0.12,22.17,632.93,1.520,0.99,5.01,147.81,1.520,0.13,-0.43,371.09,1.520,0.28,-1.08,-0.36
1.540,0.33,-2.68,-2.52,1.540,1.06,-1.13,214.75,1.540,1.17,-1.49,-0.08,1.540,1.42,3.25,156.03,1.540,1.06,-0.44,112.48,1.540,2.62,21.82,-726.83,1.540,0.09,37.60,87.61,1.540,1.84,7.31,-79.75,1.540,0.13,14.11,489.26,1.540,0.25,-1.09,0.24
1.560,0.27,-2.76,5.20,1.560,1.01,5.90,130.30,1.560,1.14,-1.31,-0.94,1.560,1.41,-0.09,82.28,1.560,1.55,2.84,44.85,1.560,2.62,0.03,-545.63,1.560,2.92,34.41,-725.78,1.560,1.84,1.32,-186.45,1.560,0.10,28.71,248.55,1.560,0.23,-1.07,0.58
1.580,0.22,-2.65,10.92,1.580,1.43,7.50,-75.16,1.580,1.11,-1.35,-5.87,1.580,1.42,-0.09,-29.15,1.580,1.06,2.69,48.05,1.580,2.62,0.02,-182.97,1.580,1.87,-3.61,-843.75,1.580,2.09,-7.90,-42.34,1.580,1.85,28.94,-235.26,1.580,0.21,-1.05,0.57
1.600,0.16,-2.03,7.83,1.600,1.43,0.16,-156.56,1.600,1.10,-1.65,-12.85,1.600,1.41,-0.15,-2.09,1.600,1.45,2.20,73.38,1.600,2.62,-0.05,-1.12,1.600,2.47,-23.71,-226.21,1.600,0.90,-2.16,174.63,1.600,1.85,14.56,-479.08,1.600,0.19,-1.05,1.75
1.620,0.12,-2.11,-2102.79,1.620,1.54,-4.40,-44.74,1.620,1.05,-1.85,-11.65,1.620,1.41,-0.19,-1.20,1.620,1.48,5.97,38.51,1.620,2.62,-0.06,-0.06,1.620,0.10,-5.52,424.74,1.620,1.83,5.70,134.53,1.620,1.85,0.03,-359.07,1.620,0.17,-1.04,5.86
1.640,0.12,-2.36,-4191.87,1.640,0.92,-0.98,95.67,1.640,1.01,-2.34,-3.34,1.640,1.40,-0.24,0.74,1.640,1.39,8.37,-252.41,1.640,2.62,-0.03,0.25,1.640,1.84,9.18,364.18,1.640,1.84,8.67,-73.83,1.640,1.85,0.14,-114.65,1.640,0.15,-0.87,9.81
1.660,0.00,-254.65,-2057.80,1.660,1.41,3.27,73.37,1.660,0.98,-2.05,6.10,1.660,1.40,-0.14,-0.81,1.660,1.84,1.14,,1.660,2.62,-0.01,-0.75,1.660,1.84,14.46,-30.56,1.660,1.83,-2.59,-170.27,1.660,1.86,0.28,4.83,1.660,0.13,-0.53,130.14
1.680,0.00,-252.51,4255.83,1.680,1.44,3.96,-29.09,1.680,0.89,-1.85,12.43,1.680,1.39,-0.11,-5.63,1.680,2.10,-23.26,,1.680,2.62,-0.07,-1.38,1.680,1.84,-4.68E-4,-197.43,1.680,1.94,-2.73,-83.64,1.680,1.86,0.56,1.50,1.680,0.12,-0.39,367.61
1.700,-30.31,1.11,6264.43,1.700,1.41,-0.54,-69.05,1.700,0.92,-1.61,10.84,1.700,1.41,-0.42,-9.97,1.700,0.91,,,1.700,2.61,-0.11,-0.51,1.700,1.84,-0.01,-121.23,1.700,1.42,-3.33,61.75,1.700,1.87,0.19,-22.01,1.700,0.13,14.09,502.27
1.720,0.13,252.59,-134.12,1.720,1.40,-0.66,-33.50,1.720,0.85,-1.29,9.96,1.720,1.39,-0.64,-8.36,,,,,1.720,2.61,-0.10,1.04,1.720,1.84,-0.04,-0.52,1.720,1.92,-0.62,94.00,1.720,1.90,0.40,-104.38,1.720,0.10,28.62,225.82
1.740,0.00,-8.02,-4267.18,1.740,1.39,-0.39,7.36,1.740,0.83,-1.31,5.87,1.740,1.35,-0.80,-3.62,,,,,1.740,2.61,-0.05,,1.740,1.84,-0.05,0.10,1.740,1.45,2.72,80.83,1.740,1.84,-2.21,-173.88,1.740,1.84,30.74,-377.78
1.760,0.00,-259.48,133.69,1.760,1.38,-0.21,9.37,1.760,0.82,-0.96,-0.88,1.760,1.37,-0.72,0.15,,,,,1.760,2.61,-0.01,,1.760,1.84,-0.03,0.56,1.760,1.83,2.51,9.77,1.760,1.95,-9.57,-87.90,1.760,1.84,10.07,-721.72
1.780,-31.14,1.12,6544.78,1.780,1.38,-0.11,11.81,1.780,0.79,-1.24,-5.69,1.780,1.33,-0.77,,,,,,1.780,2.61,,,1.780,1.84,-0.01,0.51,1.780,1.84,3.24,-43.57,1.780,1.57,-10.71,159.84,1.780,2.07,-12.68,-537.75
1.800,0.13,259.50,4296.89,1.800,1.38,0.19,14.31,1.800,0.78,-1.47,-5.68,1.800,1.32,-0.66,,,,,,,,,,1.800,1.84,-0.01,0.22,1.800,1.84,0.02,-48.75,1.800,1.03,-1.65,326.24,1.800,1.08,-14.56,6.88
1.820,0.00,258.38,-2171.73,1.820,1.38,0.63,9.57,1.820,0.73,-1.49,1.75,1.820,1.30,,,,,,,,,,,1.820,1.84,-0.01,0.07,1.820,1.84,-0.03,-28.82,1.820,1.47,9.05,210.33,1.820,1.09,-9.16,356.10
1.840,0.00,-1.12,-4296.87,1.840,1.41,0.77,-3.46,1.840,0.71,-1.39,7.29,,,,,,,,,,,,,1.840,1.84,0.00,6.18,1.840,1.84,-0.07,-2.04,1.840,1.84,9.82,-35.98,1.840,1.08,7.37,270.27
1.860,0.00,1.12,-2134.46,1.860,1.43,0.45,-16.68,1.860,0.68,-1.10,8.77,,,,,,,,,,,,,1.860,1.84,0.00,-9.69,1.860,1.83,-0.12,-1.00,1.860,1.84,3.06,,1.860,0.97,8.12,-51.64
1.880,0.00,1.12,-2163.53,1.880,1.42,-0.05,-22.39,1.880,0.66,-0.97,7.36,,,,,,,,,,,,,1.880,1.84,0.73,-63.53,1.880,1.83,-0.13,0.46,1.880,1.84,0.02,,1.880,2.08,0.59,-224.44
1.900,0.13,0.00,-4336.75,1.900,1.42,-0.55,-19.48,1.900,0.64,-0.85,,,,,,,,,,,,,,1.900,1.84,-1.90,-86.17,1.900,1.83,-0.09,1.57,1.900,1.84,,,1.900,1.06,-8.58,11.73
1.920,0.00,-259.62,-2154.96,1.920,1.41,-0.92,-10.19,1.920,0.62,-0.76,,,,,,,,,,,,,,1.920,1.92,-5.73,-7.29,1.920,1.83,-0.05,1.69,,,,,1.920,1.06,-2.87,290.20
1.940,0.00,-258.54,4326.54,1.940,1.37,-1.02,0.51,1.940,0.61,,,,,,,,,,,,,,,1.940,1.52,-3.89,141.78,1.940,1.83,-0.01,1.04,,,,,1.940,0.96,12.98,272.04
1.960,-31.02,1.07,6471.11,1.960,1.36,-0.81,5.69,,,,,,,,,,,,,,,,,1.960,1.47,1.84,133.61,1.960,1.83,0.00,,,,,,1.960,1.84,13.85,-16.24
1.980,0.13,258.49,-4294.00,1.980,1.35,-0.60,3.84,,,,,,,,,,,,,,,,,1.980,1.83,7.55,-93.72,1.980,1.83,-0.01,,,,,,1.980,1.84,7.34,-239.31
2.000,0.00,-0.12,,2.000,1.34,-0.65,0.23,,,,,,,,,,,,,,,,,2.000,1.84,-1.13,-297.26,2.000,1.83,,,,,,,2.000,1.84,0.82,-222.98
2.020,0.00,-772.63,,2.020,1.32,-0.71,,,,,,,,,,,,,,,,,,2.020,2.05,-12.17,-238.20,,,,,,,,,2.020,1.84,-2.70,-117.67
2.040,-30.91,,,2.040,1.31,-0.66,,,,,,,,,,,,,,,,,,2.040,1.10,-14.12,42.77,,,,,,,,,2.040,1.94,-2.85,4.13
,,,,2.060,1.30,,,,,,,,,,,,,,,,,,,2.060,1.10,-8.05,217.59,,,,,,,,,2.060,1.42,-3.10,
,,,,,,,,,,,,,,,,,,,,,,,,2.080,1.10,-0.12,184.10,,,,,,,,,2.080,1.92,1.71,
,,,,,,,,,,,,,,,,,,,,,,,,2.100,1.10,-0.06,61.16,,,,,,,,,2.100,1.49,,
,,,,,,,,,,,,,,,,,,,,,,,,2.120,1.09,-0.01,39.42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.140,1.10,-0.81,199.61,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.160,1.10,5.36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.180,1.00,18.52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.200,1.84,,,,,,,,,,,,,,
