,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
23,0.38,0.16,0.38,0.16,0.38,0.21,0.38,0.18,0.38,0.17,0.38,0.31,0.38,0.28,0.38,0.5,0.38,0.61,0.38,0.7
24,0.39999999999999997,,0.39999999999999997,,0.39999999999999997,0.16,0.39999999999999997,0.13,0.39999999999999997,,0.39999999999999997,0.27,0.39999999999999997,0.24,0.39999999999999997,0.47,0.39999999999999997,0.58,0.39999999999999997,0.68
25,0.42,,0.42,,0.42,,0.42,,0.42,,0.42,0.22,0.42,0.2,0.42,0.43,0.42,0.56,0.42,0.66
26,0.44,,0.44,,0.44,,0.44,,0.44,,0.44,0.17,0.44,0.15,0.44,0.4,0.44,0.53,0.44,0.64
27,0.46,,0.46,,0.46,,0.46,,0.46,,0.46,0.13,0.46,,0.46,0.37,0.46,0.51,0.46,0.62
28,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,,0.48000000000000004,0.33,0.48000000000000004,0.48,0.48000000000000004,0.6
29,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,,0.49999999999999994,0.3,0.49999999999999994,0.46,0.49999999999999994,0.58
30,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,0.26,0.52,0.43,0.52,0.56
31,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,0.22,0.54,0.4,0.54,0.54
32,0.56,,0.56,,0.56,,0.56,,0.56,,0.56,,0.56,,0.56,0.18,0.56,0.38,0.56,0.52
