,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
32,0.5800000000000001,0.82,0.5800000000000001,0.86,0.5800000000000001,0.83,0.5800000000000001,0.82,0.5800000000000001,0.85,0.5800000000000001,0.8,0.5800000000000001,0.77,0.5800000000000001,0.86,0.5800000000000001,0.83,0.5800000000000001,0.91,0.5800000000000001,0.72
33,0.6000000000000001,0.81,0.6000000000000001,1.12,0.6000000000000001,0.82,0.6000000000000001,0.81,0.6000000000000001,0.84,0.6000000000000001,0.79,0.6000000000000001,0.76,0.6000000000000001,0.85,0.6000000000000001,0.82,0.6000000000000001,0.9,0.6000000000000001,0.71
34,0.6200000000000001,0.79,0.6200000000000001,0.86,0.6200000000000001,0.81,0.6200000000000001,0.79,0.6200000000000001,0.83,0.6200000000000001,0.78,0.6200000000000001,0.75,0.6200000000000001,0.84,0.6200000000000001,0.81,0.6200000000000001,0.89,0.6200000000000001,0.7
35,0.6399999999999999,0.78,0.6399999999999999,0.84,0.6399999999999999,0.8,0.6399999999999999,0.78,0.6399999999999999,0.82,0.6399999999999999,0.77,0.6399999999999999,0.74,0.6399999999999999,0.83,0.6399999999999999,0.8,0.6399999999999999,0.88,0.6399999999999999,0.69
36,0.6599999999999999,0.77,0.6599999999999999,0.82,0.6599999999999999,0.78,0.6599999999999999,0.77,0.6599999999999999,0.81,0.6599999999999999,0.76,0.6599999999999999,0.73,0.6599999999999999,0.82,0.6599999999999999,0.79,0.6599999999999999,0.87,0.6599999999999999,0.67
37,0.6799999999999999,0.75,0.6799999999999999,0.81,0.6799999999999999,0.77,0.6799999999999999,0.75,0.6799999999999999,0.8,0.6799999999999999,0.75,0.6799999999999999,0.72,0.6799999999999999,0.81,0.6799999999999999,0.78,0.6799999999999999,0.86,0.6799999999999999,0.65
38,0.7,0.74,0.7,0.8,0.7,0.75,0.7,0.74,0.7,0.79,0.7,0.74,0.7,0.71,0.7,0.8,0.7,0.76,0.7,0.85,0.7,0.64
39,0.72,0.73,0.72,0.78,0.72,0.74,0.72,0.72,0.72,0.78,0.72,0.73,0.72,0.7,0.72,0.79,0.72,0.75,0.72,0.83,0.72,0.63
40,0.74,0.71,0.74,0.77,0.74,0.72,0.74,0.71,0.74,0.76,0.74,0.72,0.74,0.68,0.74,0.77,0.74,0.74,0.74,0.82,0.74,0.61
41,0.76,0.7,0.76,0.75,0.76,0.71,0.76,0.7,0.76,0.75,0.76,0.7,0.76,0.67,0.76,0.76,0.76,0.73,0.76,0.81,0.76,0.6
